,ImageId,CellId,Cell_CCR4Sm149Di_Sm149,Cell_CD15Dy164Di_Dy164,Cell_CD16Nd146Di_Nd146,Cell_CD206Tm169Di_Tm169,Cell_CD20Sm147Di_Sm147,Cell_CD30Ho165Di_Ho165,Cell_CD31Nd144Di_Nd144,Cell_CD34Sm152Di_Sm152,Cell_CD3Er170Di_Er170,Cell_CD45RAGd155Di_Gd155,Cell_CD45ROYb173Di_Yb173,Cell_CD4Gd156Di_Gd156,Cell_CD68Tb159Di_Tb159,Cell_CD8Dy162Di_Dy162,Cell_CXCR3Nd142Di_Nd142,Cell_CXCR5Yb171Di_Yb171,Cell_DNA2Ir191Di_Ir191,Cell_DNAIr193Di_Ir193,Cell_EphrinB2Er166Di_Er166,Cell_FOXP3Dy163Di_Dy163,Cell_GranzymBEr167Di_Er167,Cell_HLADRYb174Di_Yb174,Cell_Histone3Gd160Di_Gd160,Cell_ICOSNd148Di_Nd148,Cell_Ki67Er168Di_Er168,Cell_Lag3Eu153Di_Eu153,Cell_MembraneIn115Di_In115,Cell_PD1NAT105Lu175Di_Lu175,Cell_PDL1Nd150Di_Nd150,Cell_PDL2Yb172Di_Yb172,Cell_TbetNd145Di_Nd145,Cell_Tim3Sm154Di_Sm154,Cell_VimentinNd143Di_Nd143,Cell_pStat3Gd158Di_Gd158,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9,neighbour_4_CellId10,tSNE8718383312_1,tSNE8718383312_2,Phenograph5341189162,Phenograph8498759920
78,274864,78,1,0.466666667,0.216666667,1.633333333,1.6,0.183333333,0.233333333,0.216666667,2.383333333,5.733333333,6.983333333,4.85,2.983333333,0.65,10.96666667,0.066666667,30.8,52.21666667,0.666666667,0.333333333,3.85,0.516666667,207.25,1.416666667,0.6,0.2,7.383333333,0.066666667,0.55,1.316666667,0.233333333,1.016666667,5.5,2.033333333,60,0.952989407,0.666666667,0.363636364,1,41.202,19.00274603,5.757900739,-57.42954574,244.7333333,6.433333333,0.1875,2,90,142,0,0,0,0,0,0,0,0,0,0,0,4
79,274864,79,0.473684211,0.578947368,0.263157895,2.631578947,1.894736842,0.315789474,0.210526316,0.789473684,1.578947368,9.684210526,2.789473684,3,2.473684211,1.315789474,9.421052632,0.368421053,32.94736842,49.89473684,0.421052632,0.263157895,4.421052632,0.421052632,241.3684211,0.421052632,1.263157895,0.052631579,5.210526316,0.052631579,0.526315789,0.947368421,0.315789474,0.842105263,3.842105263,1.736842105,19,0.77006961,0.95,0.76,1,13.381,6.375046575,4.067023887,-51.91589955,326.9473684,7.894736842,0.5625,3,91,165,178,0,0,0,0,0,0,0,0,0,0,9
80,274864,80,0.661016949,0.288135593,0.101694915,1.423728814,1.457627119,0.118644068,0.152542373,0.13559322,1.06779661,6.542372881,3.169491525,2.779661017,1.627118644,0.406779661,6.186440678,0.13559322,20.57627119,34.47457627,0.13559322,0.186440678,3.338983051,0.423728814,124.2372881,1.389830508,0.559322034,0.152542373,6.169491525,0.423728814,0.491525424,0.745762712,0.322033898,0.661016949,3.677966102,1.06779661,59,0.637415224,0.921875,0.7375,1,25.563,10.00968458,7.712667113,-4.056817185,478.3728814,8.745762712,0.419354839,2,35,302,0,0,0,0,0,0,0,0,0,0,0,9
81,274864,81,0.588235294,0.176470588,0.058823529,0.941176471,4.235294118,0.029411765,0.205882353,0.294117647,1.470588235,16.29411765,3.176470588,2,2.323529412,0.529411765,8.5,0.117647059,29.91176471,51.32352941,0.411764706,0.235294118,3.411764706,0.441176471,177.1470588,2,0.323529412,0.176470588,5.235294118,0.029411765,0.264705882,0.882352941,0.264705882,1.058823529,4.058823529,1.588235294,34,0.741232686,0.971428571,0.693877551,1,19.286,8.210260778,5.511122523,-52.36088288,564.2941176,8.294117647,0.47826087,2,127,233,0,0,0,0,0,0,0,0,0,0,0,2
82,274864,82,0.615384615,0.153846154,0.307692308,1.384615385,4.461538462,0.076923077,0.115384615,0.153846154,0.307692308,18.23076923,2.115384615,1.653846154,2.807692308,1.038461538,8.115384615,0.192307692,43.76923077,71.57692308,0.192307692,0.307692308,2.576923077,0.653846154,167.1153846,1.153846154,0.076923077,0.076923077,5.461538462,0.153846154,0.307692308,0.423076923,0.615384615,1.230769231,1.384615385,2.153846154,26,0.833946363,0.838709677,0.577777778,1,19.84,8.747725731,4.827393138,-86.42326902,637.8076923,6.076923077,0.727272727,3,12,94,190,0,0,0,0,0,0,0,0,0,0,19
83,274864,83,0.615384615,0.179487179,0.051282051,1.051282051,2.743589744,0.230769231,0.128205128,0.333333333,0.564102564,13.15384615,1.333333333,1.025641026,1.974358974,0.564102564,7.564102564,0.102564103,28.71794872,51.82051282,1.358974359,0.256410256,2.538461538,0.358974359,185.1025641,0.615384615,0.102564103,0.153846154,4.871794872,0,0.307692308,0.897435897,0.102564103,0.743589744,2.487179487,1.666666667,39,0.667379124,0.906976744,0.619047619,1,21.825,8.651518711,6.442942905,17.43676525,702.7179487,8.615384615,0.37037037,4,131,191,220,271,0,0,0,0,0,0,0,0,0,11
84,274864,84,0.607142857,0.357142857,0,1.571428571,2,0.142857143,0.178571429,0.214285714,0.857142857,14.57142857,3.178571429,2.464285714,2.464285714,0.678571429,5.428571429,0.285714286,22.46428571,41.96428571,0.035714286,0.178571429,1.964285714,0.464285714,149.0714286,0.571428571,0.107142857,0.178571429,4.428571429,0.071428571,0.285714286,0.678571429,0.25,0.714285714,0.964285714,1.107142857,28,0.887608391,0.903225806,0.571428571,1,18.732,9.176581138,4.226723145,-48.95164167,748.5,8.035714286,0.608695652,3,69,170,248,0,0,0,0,0,0,0,0,0,0,2
85,274864,85,0.35,0.25,0.3,1.075,4.825,0.125,0.2,0.3,0.35,21.8,1.525,1.15,3.075,0.525,7.775,0.075,29.775,50.3,0.175,0.25,2.2,0.225,123.225,0.625,0.075,0.15,5.55,0.125,0.35,0.675,0.35,0.35,1.275,1.1,40,0.665559678,0.952380952,0.625,1,22.098,8.789785209,6.56020904,31.11098313,895.225,8.65,0.392857143,4,13,154,287,305,0,0,0,0,0,0,0,0,0,1
86,274864,86,0.763157895,0.263157895,0.236842105,0.605263158,2.421052632,0.289473684,0.131578947,0.473684211,0.342105263,6.736842105,1.421052632,2.289473684,16.57894737,0.552631579,11.97368421,0.157894737,23.68421053,40.13157895,0.315789474,0.210526316,2.368421053,0.342105263,122.3157895,0.736842105,0.105263158,0.078947368,5.973684211,0.026315789,0.315789474,0.605263158,0.184210526,0.5,2.078947368,0.947368421,38,0.71475125,0.926829268,0.678571429,1,19.956,8.444096427,5.905621693,40.90783649,1308.394737,8.921052632,0.36,2,39,62,0,0,0,0,0,0,0,0,0,0,0,10
87,274864,87,0.545454545,0.545454545,0.090909091,0.909090909,2.727272727,0,0.090909091,0.454545455,0.181818182,24.81818182,2.636363636,1.636363636,1.545454545,0.454545455,15.54545455,0,28.81818182,52,0.363636364,0.272727273,3.090909091,0.181818182,162.5454545,0.727272727,0.090909091,0.454545455,6.454545455,0,0.181818182,1,0.181818182,1.454545455,1.272727273,0.545454545,11,0.780205196,0.846153846,0.55,1,10.313,5.086013697,3.181421913,14.57403592,1438.727273,9.454545455,1,4,29,118,225,348,0,0,0,0,0,0,0,0,0,1
