,ImageId,CellId,Cell_CCR4Sm149Di_Sm149,Cell_CD15Dy164Di_Dy164,Cell_CD16Nd146Di_Nd146,Cell_CD206Tm169Di_Tm169,Cell_CD20Sm147Di_Sm147,Cell_CD30Ho165Di_Ho165,Cell_CD31Nd144Di_Nd144,Cell_CD34Sm152Di_Sm152,Cell_CD3Er170Di_Er170,Cell_CD45RAGd155Di_Gd155,Cell_CD45ROYb173Di_Yb173,Cell_CD4Gd156Di_Gd156,Cell_CD68Tb159Di_Tb159,Cell_CD8Dy162Di_Dy162,Cell_CXCR3Nd142Di_Nd142,Cell_CXCR5Yb171Di_Yb171,Cell_DNA2Ir191Di_Ir191,Cell_DNAIr193Di_Ir193,Cell_EphrinB2Er166Di_Er166,Cell_FOXP3Dy163Di_Dy163,Cell_GranzymBEr167Di_Er167,Cell_HLADRYb174Di_Yb174,Cell_Histone3Gd160Di_Gd160,Cell_ICOSNd148Di_Nd148,Cell_Ki67Er168Di_Er168,Cell_Lag3Eu153Di_Eu153,Cell_MembraneIn115Di_In115,Cell_PD1NAT105Lu175Di_Lu175,Cell_PDL1Nd150Di_Nd150,Cell_PDL2Yb172Di_Yb172,Cell_TbetNd145Di_Nd145,Cell_Tim3Sm154Di_Sm154,Cell_VimentinNd143Di_Nd143,Cell_pStat3Gd158Di_Gd158,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9,neighbour_4_CellId10,neighbour_4_CellId11,Phenograph2387869802
81,372149,81,3.944444444,0.5,1.5,5.222222222,2.555555556,0.166666667,0.277777778,0.666666667,3.333333333,11,12.72222222,5.166666667,9.611111111,2.944444444,27.22222222,0.277777778,16.77777778,30.94444444,0.5,1.055555556,5.166666667,1.111111111,178.8888889,1.388888889,0.777777778,0.333333333,6.5,0.055555556,0.388888889,1.833333333,0.388888889,2.388888889,5.611111111,2.166666667,18,0.728790151,0.947368421,0.72,1,12.554,5.978100193,4.093427077,-36.60754529,140.2222222,12.94444444,0.8125,4,48,49,161,278,0,0,0,0,0,0,0,11
82,372149,82,2.85106383,0.404255319,0.276595745,1.680851064,2.638297872,0.127659574,0.170212766,0.191489362,2.14893617,16.19148936,14.53191489,3.468085106,3.70212766,5.659574468,28.08510638,0.553191489,30.08510638,50.65957447,0.723404255,0.723404255,5.553191489,1.212765957,151.7021277,0.787234043,0.893617021,0.106382979,5.936170213,0.042553191,0.446808511,1.744680851,0.617021277,1.404255319,2.765957447,1.617021277,47,0.716707499,0.959183673,0.652777778,1,23.686,9.640609137,6.723109224,58.81125396,165.106383,12.42553191,0.689655172,4,18,91,103,214,0,0,0,0,0,0,0,1
83,372149,83,2.743589744,0.384615385,0.358974359,2.128205128,1.282051282,0.256410256,0.102564103,0.282051282,2.128205128,20.8974359,9.282051282,2.282051282,4.615384615,11.23076923,25.84615385,0.58974359,19.97435897,34.43589744,0.358974359,0.743589744,5.717948718,0.923076923,182.6923077,1.179487179,3.692307692,0.41025641,6.102564103,0.025641026,0.615384615,1.641025641,0.230769231,2.333333333,1.974358974,1.512820513,39,0.630130673,0.829787234,0.609375,1,23.396,8.810906192,6.841572687,1.878423354,344.2820513,10.76923077,0.666666667,3,146,182,202,0,0,0,0,0,0,0,0,1
84,372149,84,2,0.391304348,0.347826087,2.086956522,1.347826087,0.173913043,0.130434783,0.565217391,2.956521739,10.7826087,13.60869565,4.52173913,7.956521739,3.043478261,25.26086957,0.565217391,25.39130435,42.65217391,0.217391304,0.739130435,3.391304348,1.695652174,161.5652174,1.130434783,0.391304348,0.652173913,4.304347826,0.173913043,0.652173913,2.130434783,0.47826087,1.304347826,2.913043478,2,23,0.555145202,1,0.92,1,14.026,6.009654069,4.998550515,45,367,10,0.5625,2,114,215,0,0,0,0,0,0,0,0,0,2
85,372149,85,3.818181818,0.363636364,0.454545455,2.606060606,0.757575758,0.181818182,0.636363636,0.272727273,2.96969697,2.96969697,10.96969697,3.424242424,15.27272727,2.939393939,43.24242424,0.606060606,13.78787879,19.87878788,0.666666667,0.515151515,2.787878788,0.878787879,155.6666667,2.909090909,1,0.545454545,6.151515152,0.121212121,0.636363636,2.333333333,0.545454545,2.696969697,9.060606061,1.727272727,33,0.649573646,0.891891892,0.673469388,1,19.468,7.793372665,5.925290924,56.65105291,471.6363636,11.72727273,0.130434783,1,255,0,0,0,0,0,0,0,0,0,0,8
86,372149,86,2.584615385,0.261538462,0.353846154,2.169230769,0.492307692,0.107692308,1.030769231,0.353846154,2.615384615,6.769230769,10.16923077,3.584615385,5.907692308,3.430769231,24.21538462,0.4,19.38461538,35.24615385,1.061538462,0.446153846,6.984615385,0.953846154,161.5846154,6.6,15.76923077,0.246153846,5.769230769,0.092307692,0.553846154,1.723076923,0.369230769,1.646153846,6.476923077,1.784615385,65,0.681831509,0.833333333,0.656565657,1,31.443,11.42691798,8.358896284,71.04244443,489.1538462,11.27692308,0.638888889,5,1,44,94,148,271,0,0,0,0,0,0,4
87,372149,87,2.705882353,0.176470588,0.176470588,0.764705882,0.529411765,0.058823529,0.117647059,0.294117647,3.176470588,1.764705882,12.82352941,3.117647059,3.235294118,4.352941176,23.35294118,0.470588235,24.70588235,43.23529412,1.117647059,0.588235294,4.352941176,0.764705882,103.7058824,0.529411765,0.176470588,0.235294118,3.764705882,0,0.294117647,1.647058824,0.411764706,1.705882353,5.176470588,1.058823529,17,0.823502496,0.944444444,0.708333333,1,13.381,6.472278781,3.671805605,29.51812173,543.1176471,11.47058824,0.733333333,3,7,137,229,0,0,0,0,0,0,0,0,1
88,372149,88,1.826086957,0.130434783,0.608695652,1.52173913,2.391304348,0.173913043,0.130434783,0.47826087,1.391304348,13.82608696,7.956521739,3.217391304,3.826086957,0.695652174,30.04347826,0.434782609,24.95652174,42.47826087,0.956521739,0.52173913,4.347826087,0.956521739,123.9565217,1.217391304,0.347826087,0.086956522,6.695652174,0.043478261,0.260869565,1.695652174,0.304347826,1.043478261,9.826086957,1.217391304,23,0.517185706,0.958333333,0.547619048,1,15.937,6.118182524,5.236388495,68.23440036,942.6086957,11.7826087,0.526315789,4,55,77,187,206,0,0,0,0,0,0,0,2
89,372149,89,2.784313725,0.431372549,0.196078431,2.31372549,4.529411765,0.117647059,0.274509804,0.568627451,2.294117647,19.45098039,8.607843137,3.176470588,3.745098039,2.803921569,27.88235294,0.431372549,18.62745098,32.33333333,0.490196078,0.568627451,4.862745098,1.098039216,148.745098,2.31372549,3.980392157,0.254901961,6,0.156862745,0.843137255,2.176470588,0.352941176,1.529411765,3.215686275,1.725490196,51,0.855723689,0.85,0.607142857,1,28.011,12.20985713,6.31778369,-84.21713094,1038.098039,10.82352941,0.555555556,6,22,71,155,200,220,331,0,0,0,0,0,6
90,372149,90,3,0.208333333,0.416666667,1.958333333,2.708333333,0.208333333,0.291666667,0.208333333,3.708333333,11.41666667,15.41666667,8.833333333,3.583333333,1.125,38.16666667,0.375,26.08333333,48.41666667,0.75,0.333333333,4.708333333,1,142.25,0.875,0.541666667,0.541666667,5.708333333,0.125,0.666666667,2.125,0.5,2.333333333,2.833333333,1.541666667,24,0.767626114,0.888888889,0.6,1,17.235,7.315574265,4.688536358,-73.86891535,98.875,10.875,0.894736842,4,17,62,133,226,0,0,0,0,0,0,0,3
