"","ROIID","Cell_191Ir_Ir191","Cell_193Ir_Ir193","Cell_CD11b_Sm149","Cell_CD138_Eu151","Cell_CD14_Nd144","Cell_CD15_Dy164","Cell_CD163_Gd155","Cell_CD16_Nd146","Cell_CD20_Sm147","Cell_CD31_Dy161","Cell_CD3_Er170","Cell_CD4_Gd156","Cell_CD68_Nd150","Cell_CD8a_Dy162","Cell_Caspase3_Lu175","Cell_FOXP3_Dy163","Cell_Granzyme_Er167","Cell_HLAABC_Yb172","Cell_HLADR_Yb174","Cell_HLAE_Sm152","Cell_Histone3_Yb171","Cell_IDO_Yb173","Cell_Ki67_Er168","Cell_LAG3_Eu153","Cell_NKG2A_Nd143","Cell_MUM1_Pr141","Cell_NKG2D_Nd148","Cell_NKp46_Er166","Cell_PD1_Ho165","Cell_PDL1_Tb159","Cell_TreatmentDrug_Gd160","Cell_TIM3_Sm154","Cell_ULBP256_Yb176","Cell_Caspase_Lu175","Area","Eccentricity","Solidity","Extent","EulerNumber","Perimeter","MajorAxisLength","MinorAxisLength","Orientation","Percent_Touching","Number_Neighbors","X_position","Y_position","neighbour_4_CellId1","neighbour_4_CellId2","neighbour_4_CellId3","neighbour_4_CellId4","neighbour_4_CellId5","N"
"14","ROIID_22",9.64190610807342,16.38601300689,2.5658086584684,0.997653284328331,1.72731668788481,0.409370040159104,3.25147872209771,0.45919829614468,2.25015231669577,1.05714421511185,1.61884662959949,1.25494911005483,0.534541180141899,0.714283216791374,0.730440891124008,0.625839170187017,2.00878877831924,8.98191269355885,2.55816085399169,3.44941680521274,65.0024274896182,2.24177130833705,0.810530993760908,2.0312441232546,0.684317965007674,2.76934048427589,2.33081548457739,2.34567925259526,2.64793443518441,1.70657732768698,2.13441203800622,0.924979182458058,2.22990501588859,0,148.777923211169,0.756127648967442,0.835966247833323,0.5676010274615,1.08027923211169,47.769652486911,18.3378804319694,10.5849276562134,0.483098162048204,0.604476915446683,4.14877835951134,1048.61452872561,850.779567352704,2156.64768760908,2023.8167539267,1789.45047993019,1440.83616928447,976.741055846422,4584
"15","ROIID_23",12.9325694458387,22.109583612046,1.58498032873638,1.43639547428766,1.67015496907108,0.651551889731027,0.478323383724461,0.171379303114448,0.848207579944662,0.467861000085275,0.518611345784859,1.06703771921133,3.97483744744405,0.359579860726389,0.972725278085534,0.308278007021182,18.8705656172414,14.0305684192052,1.52048070924832,0.675470531637406,202.647388040679,2.31875830154782,1.55732338324048,6.81655638942588,2.16435883353148,0.772863372543344,0.903200370866382,0.582860163359027,0.60819152190804,0.464295971961524,0.759817345269853,0.650161566819244,1.51105393164312,0,103.627495462795,0.735895161924085,0.870188065020598,0.598719349472334,1.03221415607985,38.4869137931034,14.9755599839906,9.20386407345072,0.848708450914763,0.629932273461558,3.99364791288566,464.668182999962,437.845183416573,1061.87522686025,1029.92286751361,899.470961887477,706.129764065336,415.883393829401,2204
"16","ROIID_24",7.83853181994742,13.1996761572118,1.99735008265253,1.07743208726621,1.28967660746643,0.665360222612344,0.352932411566519,0.14559863066147,0.781609234960259,0.351937793145526,0.435616985034014,0.728634571060381,4.03903353413717,0.336098894565902,0.758041256778832,0.238822220581819,18.5342105284701,12.1767592920513,1.30235044886172,0.551740582067787,172.058880538553,1.8243734281281,1.38521541025466,2.89214723439844,1.58084538123673,0.63346177862753,0.969715296993694,0.504773527891064,0.182543062166507,0.306906351861657,0.56751944569716,0.426208840586805,1.18084354320483,0,81.3837436498632,0.727115225067793,0.887128384781715,0.612565506127894,1.01211410707308,33.0488937084799,13.0710818719012,8.20516251219263,-0.446017704102354,0.596402203564015,3.56232903477921,509.099647196423,541.978504593311,1246.45330207112,1209.63071512309,1013.5041031653,688.427901524033,340.409925752247,2559
"17","ROIID_25",5.8714554383308,9.83543387614585,1.88378436142538,1.24422959043593,1.14127274691881,0.698889493311368,0.355759594943277,0.130068605586218,0.527575529489773,0.32068746948231,0.367072138287468,0.77954217917361,3.1076939233248,0.27790025661301,0.75723329207626,0.211289281882737,9.7729412057232,10.1279076516761,1.139181737962,0.480338116795369,148.981309333425,1.71435331073166,0.748410300603594,1.22860277412005,1.66807376911938,0.647631069410776,0.715907316860501,0.349280805368724,0.167333151268788,0.275339818979833,0.499882528644156,0.448469500075123,0.946022223981374,0,84.1950338600451,0.730136974566569,0.884750903138655,0.615570370491208,1.0176072234763,33.7180984198646,13.3095702553212,8.36771668430641,1.01648033191259,0.58149613923364,3.43837471783296,548.422055995884,470.861518534491,1062.08623024831,986.220316027088,806.211286681716,525.76388261851,267.60993227991,2215
"18","ROIID_26",3.6417205687314,6.05798735781579,1.13729353661755,1.97327791862303,1.16622015679385,0.573436243931703,0.382478402153833,0.134111443957174,0.50568215762807,0.262905211297211,0.344998768019107,0.794233917812414,2.33222239292515,0.34704016913917,0.646594081497126,0.195015491807671,5.92751531903567,8.78170551427868,1.05344445898415,0.477717244428576,127.956733188658,1.69908212182726,0.651706279781015,1.23092932827399,2.08448680979696,0.668548741729608,0.5424356154545,0.312921250369414,0.177714339829028,0.458787380791346,0.561007473423394,0.431637652471171,0.968445154182125,0,96.935170178282,0.736060173990022,0.869915633789817,0.598420219138678,1.03565640194489,37.1143954619125,14.719776927596,8.84865721355752,-1.41805974137733,0.456270643436249,2.59967585089141,393.810433325097,368.746409510962,279.868719611021,241.228525121556,150.059967585089,79.1555915721232,30.0583468395462,617
"19","ROIID_27",16.4132733038255,28.4023079304182,1.4732448066036,1.51592699006771,1.09688419164083,0.803972772491365,0.562851086873647,0.322988221007344,0.622519480835992,0.338866226849595,0.501078701719782,0.843265631829673,2.15095209763545,0.34952272122174,0.751623140827824,0.280654377535895,10.1138900457614,13.8940872495842,1.32223107521582,0.593154809378999,217.628805620999,2.28895673344267,0.980671465874333,1.29880475395634,1.96028941876978,0.847766921251382,1.06722613584986,0.368854768634672,0.171990729175666,0.421854002429549,0.562014674144226,0.507324676513806,0.93653051868065,0,90.449418854929,0.723469813442711,0.885718646780419,0.613505593350732,1.02109341368919,34.9033327593629,13.7305969518937,8.67686871639292,1.78816545870763,0.618678184789019,3.79250968575118,547.745306911022,520.388688651246,1121.79767541972,1097.06715454154,961.368489022815,711.060697374085,412.635815755489,2323
"20","ROIID_28",2.65599206374724,4.59122162490455,0.954841240486097,0.9338443721139,0.66355444410969,0.445631348007929,0.216456828594522,0.1553343830502,0.319293091287664,0.245092519055443,0.233465928505304,0.463682669363848,2.00534589845393,0.262568822074454,0.400170071197133,0.144219324701707,4.92755620175293,7.15874734265267,0.613011059825726,0.36217311100675,86.8252466681359,1.01080282270065,0.419552518484734,1.79027528753865,0.886823530670239,0.524860329254747,0.771146158288198,0.196238572658132,0.101675006323372,0.165871211236857,0.337026241944027,0.367975700295642,0.491461158172977,0,92.1441241685144,0.722180705883013,0.881599223934212,0.610307926052068,1.02549889135255,35.3545454545455,13.953473366845,8.73874818734001,-0.489303617180302,0.505099386091564,3.04656319290466,500.240337220751,364.359163978254,398.292682926829,351.172949002217,265.461197339246,167.860310421286,95,902
"21","ROIID_29",15.5253306516375,26.8716400824481,1.22098535002033,4.27693261186127,0.911056110230281,0.538381199790497,0.340113442649272,0.178922115717684,0.51368125706374,0.479426572164488,0.525881866449209,0.666495340251501,3.08748123945806,0.473429314108361,0.738509846625404,0.267455125908994,16.2799202454912,14.6614446657478,1.30782451714096,0.577652589548811,191.569362003404,2.00858186534391,1.1984380935015,5.08825496478835,1.28863442194097,0.687907131320076,0.657439273802313,0.454363748254209,0.183784423571544,0.254526578031603,0.55160919840528,0.349634647370611,0.977975670424936,0,76.6377005347594,0.719919769629965,0.885975678285551,0.618984049841635,1.0307486631016,31.4476470588235,12.7417266287544,7.97020311013377,-0.591817927802665,0.617192837036236,3.76470588235294,585.056783204344,187.659421329287,317.25,291.540106951872,253.100267379679,199.482620320856,118.239304812834,748
"22","ROIID_3",14.765452391371,25.897440750728,1.42299857983528,3.40585471512169,2.06824383209086,0.531599041427459,0.57455632921483,0.232720879026792,0.572565692693449,0.953692159706023,0.737946982069557,0.924500759158735,2.09951423780472,0.633076969094824,1.70049550622147,0.41713851932821,7.86519764105793,29.2531425869323,1.87334050880607,0.805186307384305,284.698253891018,4.25282647012657,0.651384412942612,1.91150380237333,2.55147500582526,0.830540832095955,1.11586421350592,0.392526709478062,0.209461490853263,0.463730318415636,0.688127165071885,0.52243169492075,1.39344184337793,0,99.2087332053743,0.742819012358134,0.863874112584565,0.593339394037402,1.06381957773512,37.3960287907869,14.8181363717158,8.79784857561576,4.04341287170378,0.69811117806919,4.55278310940499,478.408497075172,295.546284006233,996.414107485605,987.530230326296,928.999520153551,804.56669865643,581.907389635317,2084
"23","ROIID_30",27.4820442120667,48.0390204319353,1.93199350743715,2.26417409055282,1.39468148541437,0.718159332324159,0.368976548568012,0.151266687702955,1.30349653114693,0.506041474195139,0.675889921496736,0.82366532558329,4.35514900921693,0.615994119731993,0.981318107347905,0.387323998944153,19.4891711427644,18.9691412813129,1.62867303776055,0.647276835171933,277.877053408864,2.69526369573294,1.55366590010883,1.8503345604997,1.9208234558994,0.719827465325333,1.82052013136475,0.560588795402511,0.207022841915223,0.599044606415952,0.696636139672341,0.395712558474046,1.25847534963732,0,96.8939857288481,0.735061462487584,0.877978941628017,0.605774119495257,1.03669724770642,36.5825932721713,14.6198832606386,8.81108681770535,-2.02237367829184,0.56574141105815,3.43323139653415,598.685877251591,632.930212191035,464.190621814475,438.75127420999,371.833843017329,262.670744138634,157.114169215087,981
"24","ROIID_31",38.2272313568251,66.2788846727706,1.26007584848077,6.50539070672186,1.34512120206284,0.601710704805358,0.321440795821807,0.11221394223372,1.3460921375767,0.591630480269536,0.468594191298196,0.685333005115968,2.9494477746976,0.449081445567021,0.693603829857085,0.278897002301137,9.94348042028355,13.492844759238,1.14674171037417,0.593583744358666,159.387918824128,2.35312272455153,0.942288281887997,1.31177446222484,1.83350816379888,0.526397247853271,0.607210492062228,0.411490761401678,0.165902157265087,0.299750652590856,0.582084614691207,0.352688236857034,1.07134790698836,0,104.763591433278,0.729876888695254,0.86880488583842,0.594662459824732,1.04365733113674,37.8944950576606,14.8757355957793,9.14674830342738,2.92361909819081,0.585269853213533,3.71169686985173,613.516986561281,500.169848250673,561.050247116969,528.411037891269,448.635914332784,330,199.154859967051,1214
"25","ROIID_32",10.1904857932151,17.5744773933233,0.683261359095169,2.41260844626044,0.971116085775633,0.360633433792638,0.329952727099932,0.0868196667739867,0.513218533833556,0.715726256623565,0.379276443177449,0.619423680315235,1.99002562510867,0.308299658687314,0.680891120775419,0.266628862111911,9.62697061867502,11.7303254238509,1.03291468387277,0.475298410719096,136.962437336958,2.46293226612167,0.669161035087134,1.03218459169598,1.73220755827631,0.441853668894296,0.846483188021873,0.352432336397745,0.244906620507019,0.284942716118628,0.624762531079422,0.304566838741101,0.911982955847602,0,94.8670416773204,0.731378957400206,0.867899574393624,0.59768426480804,1.01968805931987,36.7918215290207,14.1936707878375,8.82378938053106,1.20615002807906,0.701713288483221,4.56814114037331,449.006000214698,514.018404910037,1904.00843773971,1897.86908718998,1817.92252620813,1574.77678343135,1103.21145487088,3911
"26","ROIID_33",7.67357428512735,13.1553253371867,0.823623706071497,1.83970549505648,0.83349641069068,0.36460261067397,0.253953113721045,0.0776853807384322,0.310517428652375,0.413912861180864,0.351852186368385,0.462415160189954,1.80075199714712,0.250072152196094,0.512577276367568,0.212738166577289,8.63036887904504,8.48604362034076,0.913785940143425,0.359443611872139,126.582241149754,1.80922755978427,0.650665706447685,1.54532260874125,1.37361814913562,0.378578742989543,0.788273924694324,0.287966193135842,0.121064460213918,0.233030704682525,0.453086431868291,0.352281144625212,0.671207787847764,0,75.5237724084178,0.72631664991265,0.874931784115524,0.607651801430981,1.02961808261886,32.0408199532346,12.7207100918041,7.95370300150453,3.5480929413844,0.638050896278132,3.96726422447389,568.553638254827,206.945821093562,605.678098207327,594.077942322681,539.629773967264,411.333593141076,236.699922057677,1283
"27","ROIID_34",8.57224746081022,14.806965100475,0.731010388194381,1.31604610949443,0.803340233219707,0.365486083349586,0.248552893462179,0.0727997732785452,0.301081863802594,0.32102182309699,0.330098455876468,0.418543145339162,1.97609371003756,0.228872761998685,0.479918737068233,0.201276513855108,11.5080138704887,8.25888032830565,0.890448161112689,0.336231081507289,124.224952819981,1.89342186743255,0.85685929790706,1.02112549579224,1.42414855299673,0.359261638186652,0.685328834920247,0.327522360541111,0.134856955815651,0.276478231004308,0.472965543298748,0.251639498853423,0.664225472032792,0,82.3025866276232,0.722300043163393,0.876500987118017,0.608197418228597,1.02000976085896,33.5678555392875,13.2185555681486,8.32466879925177,0.121759612745124,0.662829598222986,4.20302586627623,461.411727816025,318.090236896649,981.093216203026,976.364080039043,903.669106881406,745.279648609078,483.284529038555,2049
"28","ROIID_35",8.76593633880422,15.3849671304946,0.571546160574053,1.91677286085605,0.596808433626233,0.369340392777358,0.179218643016626,0.0433067536793195,0.263428811824078,0.424137336204203,0.205426514320501,0.436618482128096,1.34645589155231,0.196716514369379,0.28521579386683,0.137635436221936,3.42381262587902,6.49153633767232,0.515095440080661,0.288673456227161,65.9825737511847,1.20298039689291,0.262567055899405,10.5271293953908,0.896716108615579,0.267678933027862,0.507351952388749,0.189286713079527,0.0854729476990239,0.487570357996787,0.387217442589537,0.195651798098903,0.721283388454837,0,114.527495995729,0.748536756284013,0.841968735084336,0.576124519762281,1.07528029898558,41.4572167645489,16.2745857632885,9.62645013125341,0.445292068380133,0.550704448232026,3.67325146823278,407.105043485758,541.923044606846,877.077949813134,826.945008008542,726.652963160705,591.234917245061,391.27068873465,1873
"29","ROIID_36",13.3973155966052,23.2254579970847,0.684786916230754,1.91196987382868,0.724044491802248,0.515152633561737,0.207063562164196,0.052473897104998,0.276294226275715,0.370236337554778,0.240063307096878,0.415518078382051,1.0011999602683,0.203471265373304,0.31709601157496,0.153678373592406,3.66453366494914,7.51791367637322,0.62659387461201,0.300052622745959,81.3862824022969,1.3167235028915,0.283449521473329,0.260479072317454,1.19026401711224,0.27961438062334,0.391952371887184,0.218834638486039,0.0931576967623556,0.200995833404213,0.443339225847793,0.207313084408855,0.832211433193477,0,112.549946294307,0.737681921055945,0.849004301207706,0.582830680071665,1.06337271750806,40.844693877551,15.8988673246659,9.61830604721614,1.6996888366674,0.53421743979109,3.44575725026853,327.065545654557,438.909181118262,440.232008592911,411.113856068743,349.859291084855,251.950590762621,150.242749731472,931
"30","ROIID_37",10.2154854813172,16.0572533387465,7.10123907862866,2.12865130573092,3.80563251591162,1.93962736431933,8.45593272400225,3.13716920561118,5.33946518146417,1.5618516542468,2.71001749951187,3.61228924370089,1.34426158466919,1.67075237012679,1.77139592962571,1.60420063007997,23.5273083618061,13.3012637538983,5.79201105716278,8.42128207870632,176.511875846896,3.88789558581637,11.5895396372415,5.44806664501128,1.48927602334453,6.54754592079285,5.57782445916624,6.56747342231553,6.9107400795221,4.33981502183728,5.68408162909459,2.42267759882206,5.00763201452488,0,111.626406441636,0.728664812003887,0.878115289749792,0.605289639216614,1.0171172612382,39.623577454274,15.1922255938976,9.57941132163088,0.727448605418469,0.68547283139538,4.39503012851277,1200.71743801672,1042.52557624076,9185.52188983096,8944.73753532768,8297.51442435877,6874.64906948222,4628.30379139338,18753
